Chain Name,Chain ID,Token Name,,FinalChainID
Metal C-Chain,381931,METAL,eip155:,eip155:381931
Metal Tahoe C-Chain,381932,METAL,eip155:,eip155:381932
Tipboxcoin Mainnet,404040,TPBX,eip155:,eip155:404040
Kekchain,420420,KEK,eip155:,eip155:420420
Kekchain (kektest),420666,tKEK,eip155:,eip155:420666
Arbitrum Rinkeby,421611,ETH,eip155:,eip155:421611
Arbitrum Goerli,421613,AGOR,eip155:,eip155:421613
Arbitrum Sepolia,421614,ETH,eip155:,eip155:421614
Markr Go,431140,AVAX,eip155:,eip155:431140
Dexalot Subnet,432204,ALOT,eip155:,eip155:432204
Syndr L3 Sepolia,444444,ETH,eip155:,eip155:444444
Ultra Pro Mainnet,473861,UPRO,eip155:,eip155:473861
OpenChain Mainnet,474142,OPC,eip155:,eip155:474142
Playdapp Network,504441,PDA,eip155:,eip155:504441
DisChain,513100,DIS,eip155:,eip155:513100
DoCoin Community Chain,526916,DCT,eip155:,eip155:526916
Scroll,534352,ETH,eip155:,eip155:534352
Shinarium Beta,534849,SHI,eip155:,eip155:534849
BeanEco SmartChain,535037,BESC,eip155:,eip155:535037
Hypra Mainnet,622277,HYP,eip155:,eip155:622277
Atlas,622463,TON,eip155:,eip155:622463
Bear Network Chain Mainnet,641230,BRNKC,eip155:,eip155:641230
ALL Mainnet,651940,ALL,eip155:,eip155:651940
Open Campus Codex,656476,EDU,eip155:,eip155:656476
Xai Mainnet,660279,XAI,eip155:,eip155:660279
Won Network,686868,WON,eip155:,eip155:686868
Tiltyard Mainnet Subnet,710420,TILT,eip155:,eip155:710420
ERAM Mainnet,721529,ERAM,eip155:,eip155:721529
Hemi Sepolia,743111,ETH,eip155:,eip155:743111
Miexs Smartchain,761412,MIX,eip155:,eip155:761412
Modularium,776877,MDM,eip155:,eip155:776877
OctaSpace,800001,OCTA,eip155:,eip155:800001
BOB Sepolia,808813,ETH,eip155:,eip155:808813
zkLink Nova Mainnet,810180,ETH,eip155:,eip155:810180
CURVE Mainnet,827431,CURVE,eip155:,eip155:827431
4GoodNetwork,846000,APTA,eip155:,eip155:846000
Dodao,855456,DODAO,eip155:,eip155:855456
BlocX Mainnet,879151,BLX,eip155:,eip155:879151
REXX Mainnet,888882,REXX,eip155:,eip155:888882
Vision - Mainnet,888888,VS,eip155:,eip155:888888
Posichain Mainnet Shard 0,900000,POSI,eip155:,eip155:900000
Astria EVM Dusknet,912559,RIA,eip155:,eip155:912559
Jono12 Subnet,955081,JONO,eip155:,eip155:955081
Eluvio Content Fabric,955305,ELV,eip155:,eip155:955305
Treasure Ruby,978657,MAGIC,eip155:,eip155:978657
Forma,984122,TIA,eip155:,eip155:984122
Forma Sketchpad,984123,TIA,eip155:,eip155:984123
Ecrox Chain Mainnet,988207,ECROX,eip155:,eip155:988207
AmChain,999999,AMC,eip155:,eip155:999999
Tiltyard Subnet,1127469,TILTG,eip155:,eip155:1127469
Sharecle Mainnet,1234567,SHR,eip155:,eip155:1234567
zKatana,1261120,ETH,eip155:,eip155:1261120
Etho Protocol,1313114,ETHO,eip155:,eip155:1313114
Xerom,1313500,XERO,eip155:,eip155:1313500
Kintsugi,1337702,kiETH,eip155:,eip155:1337702
Kiln,1337802,ETH,eip155:,eip155:1337802
Zhejiang,1337803,ETH,eip155:,eip155:1337803
Plian Mainnet Main,2099156,PI,eip155:,eip155:2099156
DPU Chain,2611555,DGC,eip155:,eip155:2611555
Xterio Chain,2702128,ETH,eip155:,eip155:2702128
SaharaAI Network,3132023,SAH,eip155:,eip155:3132023
Funki Sepolia Sandbox,3397901,ETH,eip155:,eip155:3397901
AltLayer Zero Gas Network,4000003,ZERO,eip155:,eip155:4000003
Worlds Caldera,4281033,ETH,eip155:,eip155:4281033
NumBlock Chain,5112023,NUMB,eip155:,eip155:5112023
Reactive Kopli,5318008,REACT,eip155:,eip155:5318008
Imversed Mainnet,5555555,IMV,eip155:,eip155:5555555
Astar zKyoto,6038361,ETH,eip155:,eip155:6038361
Safe(AnWang) Mainnet,6666665,SAFE,eip155:,eip155:6666665
Saakuru Mainnet,7225878,OAS,eip155:,eip155:7225878
OpenVessel,7355310,VETH,eip155:,eip155:7355310
Musicoin,7762959,MUSIC,eip155:,eip155:7762959
Zora,7777777,ETH,eip155:,eip155:7777777
Plian Mainnet Subchain 1,8007736,PI,eip155:,eip155:8007736
Fhenix Helium,8008135,tFHE,eip155:,eip155:8008135
Hokum,8080808,ETH,eip155:,eip155:8080808
HAPchain,8794598,HAP,eip155:,eip155:8794598
XCAP,9322252,GAS,eip155:,eip155:9322252
